"","state","district","state_dist","Dem_Pred","Rep_Pred","Und_Pred","Dem_Act","Rep_Act","Und_Act","Winner","total","Win_Party","Dem_Error","Rep_Error","Und_Error"
"1","AZ","06","az06",35.9590231508278,49.9673399608079,14.0736368883643,44.373992600016,55.626007399984,0,"David Schweikert",262433,"R",8.41496944918822,5.65866743917606,-14.0736368883643
"2","CA","10","ca10",47.2835118896255,44.9214350983773,7.79505301199721,50.9542244726505,49.0457755273495,0,"UNDECIDED",176164,"UNDECIDED",3.67071258302498,4.12434042897224,-7.79505301199721
"3","CA","25","ca25",43.9771912653157,48.4022318258396,7.62057690884462,51.7259552042161,48.2740447957839,0,"Katie Hill",174570,"D",7.74876393890035,-0.12818703005572,-7.62057690884462
"4","CA","39","ca39",46.9691532258065,45.9472379032258,7.08360887096774,49.1841221374046,50.8158778625954,0,"UNDECIDED",163750,"UNDECIDED",2.21496891159813,4.86863995936961,-7.08360887096774
"5","CA","45","ca45",47.7569224991518,46.4799277434435,5.76314975740466,49.5095420774049,50.4904579225951,0,"UNDECIDED",205930,"UNDECIDED",1.75261957825314,4.01053017915153,-5.76314975740466
"6","CA","48","ca48",46.4475508894387,44.7180625200738,8.83438659048755,51.8070090646361,48.1929909353639,0,"Harley Rouda",202766,"D",5.35945817519742,3.47492841529011,-8.83438659048755
"7","CA","49","ca49",53.3679307773785,38.6527636888438,7.97930553377771,54.2188139059305,45.7811860940695,0,"Mike Levin",195600,"D",0.850883128551985,7.12842240522572,-7.97930553377771
"8","CO","06","co06",46.6049301590771,37.9048691511599,15.490200689763,54.0358247918281,42.9504175091631,3.01375769900882,"Jason Crow",343226,"D",7.43089463275103,5.04554835800315,-12.4764429907542
"9","FL","15","fl15",42.8422330345156,43.4943173335305,13.6634496319538,46.9485513608428,53.0514486391572,0,"Ross Spano",284750,"R",4.10631832632721,9.55713130562663,-13.6634496319538
"10","FL","26","fl26",44.7002631065815,43.8417649082874,11.457971985131,50.8665190957101,49.1334809042899,0,"Debbie Mucarsel-Powell",235367,"D",6.1662559891286,5.29171599600245,-11.457971985131
"11","FL","27","fl27",44.0647860973913,36.8483152182938,19.0868986843149,51.7503515756531,45.7725751183473,2.47707330599956,"Donna Shalala",252435,"D",7.68556547826182,8.92425990005354,-16.6098253783153
"12","GA","06","ga06",46.4158177747353,44.3214937394269,9.26268848583776,50.4549140858634,49.5450859141365,0,"Lucy McBath",315664,"D",4.03909631112816,5.2235921747096,-9.26268848583776
"13","IL","06","il06",45.6136856227882,44.3993807650859,9.98693361212587,52.81727491698,47.18272508302,0,"Sean Casten",296013,"D",7.20358929419177,2.7833443179341,-9.98693361212587
"14","IL","12","il12",39.3594373537971,47.8722181485114,12.7683444976915,45.1998902699591,51.7775107508394,3.02259897920152,"Mike Bost",258817,"R",5.84045291616197,3.90529260232803,-9.74574551849001
"15","IL","13","il13",40.9691145461992,46.0776216188596,12.9532638349412,49.3046577840217,50.6953422159783,0,"Rodney Davis",267638,"R",8.33554323782246,4.61772059711873,-12.9532638349412
"16","IL","14","il14",48.6366001487384,43.4093092077825,7.95409064347912,51.9049182720374,48.0950817279626,0,"Lauren Underwood",274080,"D",3.268318123299,4.68577252018012,-7.95409064347912
"17","IA","01","ia01",45.6942920353982,39.1757522123894,15.1299557522124,50.9292785911054,45.994779198595,3.07594221029965,"Abby Finkenauer",332516,"D",5.23498655570716,6.81902698620557,-12.0540135419127
"18","IA","03","ia03",43.3861051273184,41.2313643464101,15.3825305262715,49.0266017926919,47.5173006885645,3.45609751874361,"Cindy Axne",346518,"D",5.64049666537349,6.28593634215441,-11.9264330075279
"19","IA","04","ia04",42.4503001894092,47.2153165156657,10.3343832949251,46.9929845917289,50.3639042829228,2.64311112534837,"Steve King",312170,"R",4.5426844023197,3.14858776725704,-7.69127216957673
"20","KS","02","ks02",41.2493717572394,36.7637683467844,21.9868598959762,46.3660585712196,48.0886962012644,5.545245227516,"Steve Watkins",259718,"R",5.11668681398015,11.32492785448,-16.4416146684602
"21","KS","03","ks03",47.6509239862672,38.6164291483955,13.7326468653373,53.3288961038961,44.1896103896104,2.48149350649351,"Sharice Davids",308000,"D",5.67797211762892,5.57318124121493,-11.2511533588438
"22","KY","06","ky06",44.0089177878589,44.4014968002356,11.5895854119055,47.784285629387,50.9993991059224,1.21631526469054,"Andy Barr",302882,"R",3.77536784152809,6.59790230568682,-10.3732701472149
"23","ME","02","me02",41.1718316336338,41.0628496629643,17.765318703402,45.545341090858,46.2168005484171,8.23785836072489,"UNDECIDED",284455,"UNDECIDED",4.3735094572242,5.15395088545287,-9.52746034267708
"24","MI","08","mi08",49.0465201862642,42.4219266464504,8.53155316728542,50.6068323526829,46.7796610169492,2.61350663036796,"Elissa Slotkin",341610,"D",1.5603121664187,4.35773437049877,-5.91804653691746
"25","MN","08","mn08",33.5045294755655,49.14908502207,17.3463855023646,45.195589059237,50.7398258034941,4.06458513726888,"Pete Stauber",314128,"R",11.6910595836715,1.59074078142415,-13.2818003650957
"26","NJ","03","nj03",43.9877173445953,44.6022438149224,11.4100388404824,49.9350526389226,48.7975602382621,1.26738712281529,"UNDECIDED",301013,"UNDECIDED",5.94733529432732,4.19531642333976,-10.1426517176671
"27","NJ","07","nj07",47.3888992158059,39.4935193901398,13.1175813940543,51.8917436046493,47.2901609737458,0.818095421604904,"Tom Malinowski",306199,"D",4.50284438884331,7.79664158360606,-12.2994859724494
"28","NJ","11","nj11",48.8052075468444,38.3811200348911,12.8136724182645,56.2407067867751,42.6858729294981,1.07342028372678,"Mikie Sherrill",288517,"D",7.43549923993076,4.30475289460698,-11.7402521345377
"29","NM","02","nm02",44.4546381399854,44.5105385017094,11.0348233583052,50.695379093764,49.304620906236,0,"Xochitl Torres Small",196152,"D",6.24074095377864,4.79408240452661,-11.0348233583052
"30","NY","11","ny11",40.4864410919369,43.8013952747004,15.7121636333627,52.7908507214237,46.822030383303,0.387118895273278,"Max Rose",180823,"D",12.3044096294868,3.02063510860262,-15.3250447380894
"31","NY","19","ny19",43.2831399439327,41.6045264149453,15.112333641122,50.2218113196061,47.3405469570379,2.43764172335601,"Antonio Delgado",262836,"D",6.93867137567346,5.73602054209259,-12.674691917766
"32","NY","22","ny22",44.9499091701041,45.8816468274358,9.16844400246008,50.3036696620767,49.6963303379233,0,"Anthony Brindisi",234136,"D",5.35376049197266,3.81468351048741,-9.16844400246008
"33","NY","27","ny27",39.8708627136395,44.2597899368405,15.86934734952,48.4108839878071,49.4598350367581,2.12928097543482,"Chris Collins",267696,"R",8.54002127416756,5.20004509991757,-13.7400663740852
"34","NC","09","nc09",44.1314059405941,45.3653267326733,10.5032673267327,48.7704405549184,49.4281825099947,1.80137693508684,"Mark Harris",279897,"R",4.63903461432435,4.06285577732147,-8.70189039164584
"35","OH","01","oh01",40.8204546175166,49.4969516284946,9.68259375398882,46.4405210833048,51.8021940349674,1.7572848817278,"Steve Chabot",291700,"R",5.62006646578819,2.30524240647281,-7.92530887226101
"36","PA","01","pa01",45.9838187412164,47.3104309657062,6.7057502930774,48.6710301910081,51.3289698089919,0,"Brian Fitzpatrick",328939,"R",2.68721144979167,4.01853884328573,-6.7057502930774
"37","PA","08","pa08",52.3787944664032,39.7825098814229,7.83869565217391,54.6471995742589,45.3528004257411,0,"Matt Cartwright",246159,"D",2.26840510785574,5.57029054431816,-7.83869565217391
"38","PA","10","pa10",43.0306712912995,44.5978804413415,12.3714482673591,48.6481262899229,51.3518737100771,0,"Scott Perry",289746,"R",5.61745499862344,6.75399326873565,-12.3714482673591
"39","TX","07","tx07",44.8318948232676,45.7002112825228,9.46789389420964,52.3460027299846,47.6539972700154,0,"Lizzie Fletcher",241027,"D",7.51410790671704,1.9537859874926,-9.46789389420964
"40","TX","23","tx23",37.6014498366598,53.0545504321928,9.34399973114743,48.6721388322858,49.2222254111299,2.1056357565843,"Will Hurd",209058,"R",11.070688995626,-3.83232502106286,-7.23836397456313
"41","TX","32","tx32",45.82059485572,41.7973009207343,12.3821042235456,52.1651351361219,45.8546451558729,1.98021970800521,"Colin Allred",273909,"D",6.34454028040182,4.05734423513861,-10.4018845155404
"42","UT","04","ut04",45.43898369176,45.128640247423,9.43237606081697,51.1563990873263,48.8436009126737,0,"UNDECIDED",212124,"UNDECIDED",5.71741539556628,3.71496066525066,-9.43237606081697
"43","VA","02","va02",42.3572003376389,45.1206342382181,12.5221654241431,51.0395653558759,48.8246083553304,0.135826288793782,"Elaine Luria",273143,"D",8.68236501823699,3.70397411711228,-12.3863391353493
"44","VA","05","va05",45.6238141222299,44.5854712233648,9.79071465440533,46.6477554144716,53.1763184809247,0.175926104603668,"Denver Riggleman",310926,"R",1.02394129224172,8.59084725755994,-9.61478854980166
"45","VA","07","va07",43.9771303634086,45.7914932663892,10.2313763702022,50.3301523934261,48.4204445690003,1.2494030375736,"Abigail Spanberger",349687,"D",6.35302203001753,2.62895130261105,-8.98197333262859
"46","VA","10","va10",48.3721973863175,40.9591877340268,10.6686148796558,56.1007852940296,43.7365524857671,0.162662220203301,"Jennifer Wexton",367633,"D",7.72858790771219,2.77736475174028,-10.5059526594525
"47","WA","03","wa03",40.6205137171729,47.5753876601078,11.8040986227193,47.1356854649526,52.8643145350474,0,"Jaime Herrera Beutler",298396,"R",6.51517174777976,5.28892687493959,-11.8040986227193
"48","WA","08","wa08",47.5045812359368,44.7028627457311,7.79255601833207,52.6787394919185,47.3212605080815,0,"Kim Schrier",281569,"D",5.17415825598166,2.61839776235043,-7.79255601833207
"49","WV","03","wv03",41.3010865108693,45.9435791491301,12.7553343400006,43.5935198821797,56.4064801178203,0,"Carol Miller",173824,"R",2.29243337131038,10.4629009686902,-12.7553343400006
